Individuo,Alumno no. Cuenta,Orden de preferencia,Clave,Nombre de la Materia
107,,4,2049,2. Evaluación de Proyectos
107,,3,2054,3. Presupuesto de Capital
107,,2,2036,4. Fianzas
107,,1,2037,5. Investigación de Operaciones II 
108,307205212,5,2033,1.-Derivados
108,307205213,4,2039,2.-Modelos y Simulacion
108,307205214,3,2032,3.-Analisis de Regresion
108,307205215,2,2049,4.-Evaluacion de proyectos
108,307205216,1,2055,5.-Series de Tiempo
109,40910776-8,5,2032,Análisis de regresión
109,40910776-9,4,2039,Modelos y simulación
109,40910776-10,3,2055,Series de tiempo
109,40910776-11,2,2031,Análisis multivariado
109,40910776-12,1,2041,Muestreo
110,307105143,5,2034,Economia Matemàtica              
110,307105144,4,2041,Muestreo                                
110,307105145,3,2048,Estadistica Bayesiana               
110,307105146,2,2044,Analisis de Estados Financieros 
110,307105147,1,2049,Evaluaciòn de Proyectos           
111,307265203,5,2041,               MUESTREO
111,307265204,4,2032,               ANÁLISIS DE REGRESIÓN
111,307265205,3,2037,               INVESTIGACIÓN DE OPERACIONES II
111,307265206,2,2049,               EVALUACIÓN DE PROYECTOS
111,307265207,1,2048,               ESTADÍSTICA BAYESIANA 
112,30714410-0,5,2039,Modelos y Simulacion
112,30714410-1,4,2032, Analisis de Regresion
112,30714410-2,3,2044,Analisis de Estados Financieros
112,30714410-3,2,2046, Auditoria Actuarial 
112,30714410-4,1,2051, Finanzas Internacionales
113,,5,2037, 1. Investigación de Operaciones II  
113,,4,2032,2. Análisis de Regresión 
113,,3,2039,3. Modelos y Simulación 
113,,2,2055,4. Series de Tiempo 
113,,1,2048,5. Estadística Bayesiana 
114,41008915-4,5,2039,  Modelos y simulacion
114,41008915-5,4,2049,Evaluacion de proyectos
114,41008915-6,3,2043, Planeacion Financiera
114,41008915-7,2,2046,  Auditoria Actuarial
114,41008915-8,1,2032,  Analisis de regresion
115,307266956,5,2032, análisis de regresión 
115,307266957,4,2039,modelos y simulación 
115,307266958,3,2045, análisis econometrico
115,307266959,2,2049, evaluación de proyectos 
115,307266960,1,2037, investigación de operaciones 2
116,307113946,5,2049,    Evaluación de proyectos
116,307113947,4,2043,    Planeación financiera.
116,307113948,3,2051,    Finanzas Internacionales
116,307113949,2,2056,    Seguro de personas
116,307113950,1,2047,    Contabilidad de seguros 
117,30754190-1,5,2050,     Estad stica de seguros
117,30754190-2,4,2031,     An lisis multivariado
117,30754190-3,3,2046,     Auditor a actuarial
117,30754190-4,2,2034,    Econom a matem tica II
117,30754190-5,1,2041,     Muestreo
118,307309499,5,2051,Finanzas Internacionales
118,307309500,4,2039,Modelos y simulacion
118,307309501,3,2033,Derivados
118,307309502,2,2032,Analisis de regresion
118,307309503,1,2049,Evaluacion de Proyectos
119,303571111,5,2048,           Estad stica Bayesiana
119,303571112,4,2032,           An lisis de Regresi n
119,303571113,3,2033,           Derivados
119,303571114,2,2055,          Series de Tiempo
119,303571115,1,2039,           Modelos y simulaci n
120,307697455,5,2032,1.-ANALISIS DE REGRESIÓN         
120,307697456,4,2031,2.-ANALISIS MULTIVARIADO         
120,307697457,3,2039,3.-MODELOS Y SIMULACION        
120,307697458,2,2033,4.-DERIVADOS                            
120,307697459,1,2049,5.-EVALUACION DE PROYECTOS  
121,307037118,5,2039,     Modelos y simulación
121,307037119,4,2032,     Analisis de Regresión
121,307037120,3,2034,    Economia Matemática 2
121,307037121,2,2031,     Análisis Multivariado
121,307037122,1,2048,     Estadística Bayesiana
122,410012611,5,2048,ESTADÍSTICA BAYESIANA
122,410012612,4,2046,AUDITORIA ACTUARIAL
122,410012613,3,2041,MUESTREO
122,410012614,2,2039,MODELOS Y SIMULACION 
122,410012615,1,2040,MATEMÁTICAS ACTUARIALES APLICADAS
123,307042477,5,2033,Derivados
123,307042478,4,2031,Analisis multivariado
123,307042479,3,2032,Analisis de regresion
123,307042480,2,2048,Estadistica bayesiana
123,307042481,1,2049,Evaluacion de proyectos
124,,5,2039,Modelos y Simulación
124,,4,2048,Estadística Bayesiana
124,,3,2032,Análisis de Regresión
124,,2,2055,Series de Tiempo
124,,1,2031,Análisis Multivariado
